User ID,Transaction ID,Timestamp,Transaction Amount,Device ID,IP Address,Location,Keystroke Dynamics,Mouse Dynamics,Scroll Patterns,Touch Dynamics,Gesture Dynamics,Device Orientation,Transaction Type,Merchant Category,Browser Type,Operating System,Is Fraud
19996,99991,14-02-2024 22:41,462.06,5695d92b-6084-4734-b430-7be7c512268a,120.113.203.26,Murphystad,"[0.26, 0.24, 0.28]","Move: (x:245, y:91), Click: (x:126, y:229)","ScrollLength: 103px, ScrollSpeed: 36px/s",N/A,N/A,Landscape,Online Purchase,Utilities,Safari,Windows 11,Yes
73433,49837,12-01-2024 14:17,617.37,bd1afc5e-af81-488a-a344-b17024d763e9,136.112.80.237,Roseborough,"[0.22, 0.08, 0.2]","Move: (x:297, y:168), Click: (x:347, y:298)","ScrollLength: 179px, ScrollSpeed: 22px/s",N/A,N/A,Portrait,Bank Transfer,Grocery,Chrome,iOS,Yes
10670,14443,30-01-2024 04:23,804.83,783e56da-a5de-419d-a709-dbf43b65d407,216.188.18.148,Baileybury,"[0.23, 0.17, 0.07]","Move: (x:246, y:260), Click: (x:291, y:203)","ScrollLength: 108px, ScrollSpeed: 17px/s",N/A,N/A,Landscape,Bill Payment,Electronics,Safari,Linux,Yes
60537,96629,21-02-2024 20:07,506.06,ee214078-2d85-47c4-81e2-03fc883e1296,141.56.148.159,North Robertstad,"[0.21, 0.2, 0.28]","Move: (x:232, y:92), Click: (x:396, y:390)","ScrollLength: 212px, ScrollSpeed: 35px/s",N/A,N/A,Landscape,Bank Transfer,Entertainment,Firefox,iOS,Yes
79187,73318,26-02-2024 13:50,993.9,7c42b15f-c500-41c0-9183-214aab9e3a79,53.45.20.174,Port Reneeberg,"[0.2, 0.23, 0.13]","Move: (x:166, y:227), Click: (x:116, y:259)","ScrollLength: 399px, ScrollSpeed: 16px/s",N/A,N/A,Landscape,Account Funding,Utilities,Opera,Android,Yes
19002,71620,30-03-2024 14:43,322.29,3f233d8e-775b-4fdb-a1b0-7d0888ce3be8,135.12.36.211,Keithborough,"[0.06, 0.13, 0.1]","Move: (x:118, y:257), Click: (x:145, y:337)","ScrollLength: 173px, ScrollSpeed: 16px/s",N/A,N/A,Landscape,Online Purchase,Utilities,Edge,Windows 11,Yes
79353,67105,14-02-2024 18:18,402.23,86b011d3-2038-439b-b5df-097f01d4a2a7,34.110.120.189,Lindseyside,"[0.09, 0.28, 0.17]","Move: (x:269, y:279), Click: (x:290, y:129)","ScrollLength: 466px, ScrollSpeed: 24px/s",N/A,N/A,Portrait,Bill Payment,Entertainment,Safari,Windows 11,Yes
31636,57234,05-02-2024 13:55,165.69,2ba19a41-3e73-44a8-9f7b-3f4bcfd38461,40.97.11.103,South Lisa,"[0.28, 0.25, 0.21]","Move: (x:265, y:253), Click: (x:398, y:235)","ScrollLength: 387px, ScrollSpeed: 35px/s",N/A,N/A,Portrait,Bill Payment,Electronics,Firefox,iOS,Yes
82069,51413,11-01-2024 13:16,481.71,aa8e1c4b-e308-42d4-9120-889c59db8656,136.116.52.146,Samanthahaven,"[0.27, 0.25, 0.07]","Move: (x:156, y:106), Click: (x:277, y:123)","ScrollLength: 126px, ScrollSpeed: 44px/s",N/A,N/A,Landscape,Online Purchase,Electronics,Edge,Linux,Yes
38565,40273,16-02-2024 10:31,701.98,2d6dd097-517b-492a-be5e-85b9e194a580,192.207.54.99,Port Michelleland,"[0.27, 0.06, 0.24]","Move: (x:138, y:299), Click: (x:379, y:172)","ScrollLength: 437px, ScrollSpeed: 34px/s",N/A,N/A,N/A,Online Purchase,Clothing,Edge,Windows 10,Yes
88781,58205,01-03-2024 20:06,54.63,9f270146-1492-4739-81ec-efdb80c360e2,193.220.52.11,Jeremymouth,"[0.09, 0.28, 0.23]","Move: (x:216, y:283), Click: (x:288, y:387)","ScrollLength: 307px, ScrollSpeed: 41px/s",N/A,N/A,N/A,Bill Payment,Clothing,Firefox,macOS,Yes
71715,12883,19-01-2024 20:25,310.98,8bbf1dcf-2d30-4205-8bce-722e3bd9b28c,196.105.14.50,Nicolebury,"[0.15, 0.18, 0.15]","Move: (x:212, y:116), Click: (x:177, y:183)","ScrollLength: 123px, ScrollSpeed: 30px/s",N/A,N/A,Portrait,Bill Payment,Grocery,Chrome,Windows 11,Yes
39186,45065,08-03-2024 16:31,234.18,33974219-ef12-467a-9e4a-0642d934a82d,116.201.51.42,South Jennifer,"[0.26, 0.22, 0.09]","Move: (x:55, y:77), Click: (x:361, y:389)","ScrollLength: 119px, ScrollSpeed: 31px/s",N/A,N/A,Landscape,Online Purchase,Electronics,Firefox,Windows 11,Yes
80048,33705,30-03-2024 01:44,284.81,7e39293c-bb17-42ef-8268-63ba9ad44455,170.221.33.125,Hermanland,"[0.1, 0.16, 0.28]","Move: (x:226, y:290), Click: (x:373, y:376)","ScrollLength: 339px, ScrollSpeed: 49px/s",N/A,N/A,Portrait,Bank Transfer,Electronics,Safari,Linux,Yes
52391,86769,30-01-2024 21:19,574.6,2c9518fa-03de-4839-bef7-a46345663319,129.202.254.198,Jonesfort,"[0.07, 0.28, 0.16]","Move: (x:263, y:300), Click: (x:249, y:108)","ScrollLength: 316px, ScrollSpeed: 44px/s",N/A,N/A,Portrait,Online Purchase,Electronics,Edge,Windows 11,Yes
84428,87154,29-02-2024 04:29,954.07,eb103164-8aba-4a9e-8c29-44d5a7b285f4,7.226.250.216,Jamesport,"[0.11, 0.21, 0.11]","Move: (x:278, y:182), Click: (x:146, y:274)","ScrollLength: 433px, ScrollSpeed: 11px/s",N/A,N/A,Portrait,Bank Transfer,Electronics,Opera,Android,Yes
95102,95818,01-04-2024 21:50,452.71,840b9ec6-248f-4653-b91c-d2d44ca131aa,190.31.252.84,Ashleyport,"[0.18, 0.23, 0.26]","Move: (x:284, y:251), Click: (x:250, y:182)","ScrollLength: 393px, ScrollSpeed: 12px/s",N/A,N/A,N/A,Bank Transfer,Electronics,Firefox,Linux,Yes
92686,39953,05-01-2024 14:07,840.36,648eddff-7994-4d25-b15a-55c6e43342b7,153.213.168.218,East Rogerstad,"[0.25, 0.22, 0.21]","Move: (x:284, y:62), Click: (x:391, y:231)","ScrollLength: 444px, ScrollSpeed: 41px/s",N/A,N/A,Portrait,Bill Payment,Grocery,Safari,macOS,Yes
57743,62301,14-02-2024 16:00,327.96,a550f0fb-eda5-4530-aae3-c998d4c0f897,37.112.199.35,Maryhaven,"[0.13, 0.12, 0.09]","Move: (x:79, y:291), Click: (x:164, y:118)","ScrollLength: 195px, ScrollSpeed: 35px/s",N/A,N/A,Portrait,Bill Payment,Utilities,Chrome,Linux,Yes
92783,34034,03-01-2024 08:25,670.72,67abb43c-14cb-473f-9f41-737bf210ca76,114.245.57.65,Port Arthur,"[0.22, 0.15, 0.28]","Move: (x:154, y:228), Click: (x:144, y:311)","ScrollLength: 104px, ScrollSpeed: 22px/s",N/A,N/A,Landscape,Bank Transfer,Entertainment,Safari,macOS,Yes
66580,85526,21-02-2024 07:27,386.69,088d3616-6cd6-4d8d-b6ba-3dfa814cce88,57.196.101.63,Irwinfort,"[0.24, 0.23, 0.2]","Move: (x:62, y:185), Click: (x:378, y:380)","ScrollLength: 156px, ScrollSpeed: 31px/s",N/A,N/A,Portrait,Online Purchase,Electronics,Safari,Windows 10,Yes
17838,34051,15-02-2024 10:21,226.68,6c35045a-bf93-4101-bd5c-ae0ae6b05a87,183.11.253.174,Cobbmouth,"[0.28, 0.27, 0.11]","Move: (x:245, y:300), Click: (x:207, y:322)","ScrollLength: 341px, ScrollSpeed: 30px/s",N/A,N/A,Landscape,Account Funding,Utilities,Opera,Windows 10,Yes
78335,31373,26-01-2024 16:44,33.41,57fb8429-bf38-42c8-95ee-a947bc5f1900,3.19.206.102,South Tamaraburgh,"[0.24, 0.26, 0.11]","Move: (x:58, y:58), Click: (x:128, y:148)","ScrollLength: 365px, ScrollSpeed: 14px/s",N/A,N/A,N/A,Bank Transfer,Entertainment,Firefox,macOS,Yes
14689,16741,10-02-2024 04:07,452.25,02f3f57d-0787-4b85-a16b-6120918b8b17,188.106.183.232,Zacharyborough,"[0.08, 0.27, 0.14]","Move: (x:131, y:92), Click: (x:156, y:344)","ScrollLength: 355px, ScrollSpeed: 25px/s",N/A,N/A,Landscape,Bank Transfer,Clothing,Safari,Linux,Yes
75226,56537,28-01-2024 13:10,236.67,24d4a8a7-6117-4c1c-bad8-1d96b4229bf2,92.26.156.17,Nelsonhaven,"[0.09, 0.12, 0.2]","Move: (x:102, y:150), Click: (x:130, y:176)","ScrollLength: 417px, ScrollSpeed: 44px/s",N/A,N/A,Landscape,Bank Transfer,Clothing,Firefox,macOS,Yes
28146,71626,08-03-2024 02:53,479.8,ecaa15d6-2da1-4aa1-b52e-e03d8c75add7,57.67.0.76,Bowenbury,"[0.14, 0.3, 0.08]","Move: (x:75, y:248), Click: (x:389, y:158)","ScrollLength: 371px, ScrollSpeed: 12px/s",N/A,N/A,N/A,Account Funding,Electronics,Opera,macOS,Yes
95569,72045,13-01-2024 12:43,955,0458ebac-7a80-4ef5-9301-a8043b90817c,155.81.119.232,Walkerton,"[0.27, 0.12, 0.2]","Move: (x:167, y:252), Click: (x:202, y:133)","ScrollLength: 295px, ScrollSpeed: 12px/s",N/A,N/A,N/A,Bank Transfer,Grocery,Edge,Linux,Yes
49433,20763,08-03-2024 13:33,415.21,02247b76-9ded-49ad-a63f-d34bc91f0c34,53.51.156.47,Haynesview,"[0.29, 0.22, 0.18]","Move: (x:154, y:271), Click: (x:199, y:114)","ScrollLength: 219px, ScrollSpeed: 20px/s",N/A,N/A,Portrait,Account Funding,Clothing,Firefox,Linux,Yes
39648,21310,14-03-2024 06:10,548.34,b82a53d7-d9e1-4424-9561-2689d542f1c2,139.231.94.157,Robinsonborough,"[0.15, 0.11, 0.11]","Move: (x:66, y:70), Click: (x:389, y:259)","ScrollLength: 126px, ScrollSpeed: 50px/s",N/A,N/A,Landscape,Account Funding,Clothing,Edge,Linux,Yes
21684,19540,15-01-2024 21:53,341.49,3d7b3d62-018a-4e9e-bec9-2d99b74105eb,70.230.40.187,West Tracy,"[0.15, 0.13, 0.16]","Move: (x:57, y:205), Click: (x:381, y:193)","ScrollLength: 227px, ScrollSpeed: 39px/s",N/A,N/A,N/A,Account Funding,Utilities,Chrome,Android,Yes
57128,13362,10-01-2024 22:25,178.44,931c3828-ee6b-427f-bcfa-04bd0b580f6c,81.195.34.90,North Johnmouth,"[0.16, 0.23, 0.22]","Move: (x:294, y:52), Click: (x:385, y:154)","ScrollLength: 255px, ScrollSpeed: 11px/s",N/A,N/A,N/A,Bank Transfer,Grocery,Chrome,macOS,Yes
68459,44758,16-03-2024 03:52,739.01,71ad4e59-a83a-47ee-b8c2-21a6cb97d5a7,185.108.215.17,Pachecoland,"[0.27, 0.05, 0.06]","Move: (x:134, y:109), Click: (x:223, y:130)","ScrollLength: 472px, ScrollSpeed: 21px/s",N/A,N/A,N/A,Bill Payment,Clothing,Firefox,Android,Yes
40445,53444,18-03-2024 22:20,373.44,04db4102-7a98-48b0-8dbe-9f96e851a0c0,72.215.85.217,Alexanderborough,"[0.24, 0.22, 0.13]","Move: (x:261, y:111), Click: (x:242, y:282)","ScrollLength: 169px, ScrollSpeed: 14px/s",N/A,N/A,N/A,Online Purchase,Utilities,Safari,Windows 11,Yes
78161,29982,30-01-2024 09:18,227.73,8456c90e-4c13-45ed-9d00-3f38af12acf3,37.20.98.100,West Jasmineborough,"[0.07, 0.18, 0.29]","Move: (x:166, y:193), Click: (x:382, y:191)","ScrollLength: 440px, ScrollSpeed: 25px/s",N/A,N/A,Landscape,Bill Payment,Clothing,Firefox,Windows 11,Yes
99626,94862,11-03-2024 12:34,891.53,a16ffdca-387d-47b0-9931-b839ecc47ebb,140.247.195.108,Rosshaven,"[0.18, 0.27, 0.26]","Move: (x:90, y:144), Click: (x:185, y:147)","ScrollLength: 116px, ScrollSpeed: 20px/s",N/A,N/A,Landscape,Online Purchase,Entertainment,Chrome,macOS,Yes
47407,60962,04-02-2024 06:01,221.58,0aff25b0-0242-4d5e-93cd-85e8c6d7b41c,203.249.114.67,Nicoleville,"[0.11, 0.1, 0.14]","Move: (x:118, y:249), Click: (x:189, y:258)","ScrollLength: 162px, ScrollSpeed: 28px/s",N/A,N/A,Portrait,Account Funding,Grocery,Firefox,iOS,Yes
59179,12056,26-02-2024 05:27,471.53,f1a740c7-26f5-4980-9318-7f3cee1cef72,78.79.101.72,North Robert,"[0.08, 0.07, 0.19]","Move: (x:275, y:188), Click: (x:159, y:172)","ScrollLength: 118px, ScrollSpeed: 20px/s",N/A,N/A,Landscape,Bank Transfer,Electronics,Edge,Windows 10,Yes
11746,10276,12-02-2024 07:20,50.18,59307703-b087-4bfb-9644-ece367755f70,64.102.96.129,Chenfort,"[0.23, 0.13, 0.1]","Move: (x:118, y:114), Click: (x:282, y:172)","ScrollLength: 390px, ScrollSpeed: 27px/s",N/A,N/A,N/A,Account Funding,Electronics,Firefox,macOS,Yes
68606,77126,26-01-2024 19:04,285.64,8842e5f8-80b1-4573-b0d2-bdcc13fabc88,167.11.121.43,Coxmouth,"[0.23, 0.09, 0.26]","Move: (x:117, y:235), Click: (x:351, y:173)","ScrollLength: 219px, ScrollSpeed: 34px/s",N/A,N/A,N/A,Bill Payment,Entertainment,Safari,Android,Yes
69691,61744,29-02-2024 19:40,418.62,3b23f5e8-8568-4019-a70f-6e2e6e7bb934,164.252.87.101,East Ronnie,"[0.16, 0.29, 0.14]","Move: (x:225, y:219), Click: (x:153, y:298)","ScrollLength: 455px, ScrollSpeed: 16px/s",N/A,N/A,Landscape,Account Funding,Clothing,Firefox,Windows 11,Yes
27557,30419,23-01-2024 22:04,744.57,50f2733e-d47e-4770-9337-c0b282e36405,87.152.97.204,Phillipsburgh,"[0.25, 0.18, 0.12]","Move: (x:179, y:199), Click: (x:360, y:327)","ScrollLength: 495px, ScrollSpeed: 45px/s",N/A,N/A,Landscape,Bill Payment,Utilities,Firefox,macOS,Yes
35510,95594,19-03-2024 20:07,180.69,76a6dff4-361d-4279-98d5-f7b528d6c4e0,4.10.37.178,Jimville,"[0.25, 0.06, 0.07]","Move: (x:57, y:196), Click: (x:339, y:219)","ScrollLength: 477px, ScrollSpeed: 30px/s",N/A,N/A,Portrait,Bank Transfer,Utilities,Safari,Linux,Yes
24585,92079,08-03-2024 07:54,477.89,cd5204f4-a71f-4b47-8518-de316b7f4879,85.195.199.71,North Erinport,"[0.14, 0.1, 0.19]","Move: (x:153, y:58), Click: (x:378, y:297)","ScrollLength: 173px, ScrollSpeed: 29px/s",N/A,N/A,N/A,Bill Payment,Grocery,Safari,macOS,Yes
23466,59026,05-02-2024 05:04,539.94,a3422d07-6bbb-4f5e-a1ca-1f23e00e9732,99.153.164.16,West Cassidy,"[0.25, 0.16, 0.3]","Move: (x:58, y:251), Click: (x:241, y:215)","ScrollLength: 402px, ScrollSpeed: 21px/s",N/A,N/A,Landscape,Account Funding,Grocery,Safari,Android,Yes
18832,15723,24-01-2024 03:14,777.6,4bd54e58-e4d5-4681-8abc-8e3c7005f945,187.46.86.0,South Willie,"[0.1, 0.27, 0.06]","Move: (x:218, y:186), Click: (x:194, y:245)","ScrollLength: 126px, ScrollSpeed: 23px/s",N/A,N/A,N/A,Bill Payment,Entertainment,Firefox,Linux,Yes
10214,70638,18-01-2024 04:06,109.81,e0dbb4e8-0403-4290-8b14-b081e365cb55,119.126.204.109,Bonnieside,"[0.15, 0.24, 0.12]","Move: (x:85, y:67), Click: (x:312, y:349)","ScrollLength: 194px, ScrollSpeed: 42px/s",N/A,N/A,Landscape,Bill Payment,Electronics,Edge,Linux,Yes
25712,76063,14-02-2024 18:32,881.75,639f6a5c-653a-4612-bc63-d64ebb23367b,24.161.88.45,Williamtown,"[0.21, 0.1, 0.07]","Move: (x:216, y:177), Click: (x:119, y:211)","ScrollLength: 451px, ScrollSpeed: 18px/s",N/A,N/A,Portrait,Bank Transfer,Clothing,Opera,Windows 10,Yes
51525,47013,03-03-2024 07:39,733.39,b1a1dbe1-ec58-4d75-b4d2-6779d7c61fd7,89.211.167.97,North Matthewfurt,"[0.18, 0.12, 0.07]","Move: (x:59, y:124), Click: (x:349, y:281)","ScrollLength: 109px, ScrollSpeed: 19px/s",N/A,N/A,Portrait,Bill Payment,Entertainment,Opera,iOS,Yes
87599,66398,19-01-2024 02:51,317.4,96973c36-0ec6-49ad-8710-e7b6569145e1,35.160.205.231,Russellport,"[0.22, 0.09, 0.06]","Move: (x:267, y:213), Click: (x:293, y:224)","ScrollLength: 127px, ScrollSpeed: 43px/s",N/A,N/A,Landscape,Online Purchase,Utilities,Safari,Windows 10,Yes
28545,76446,17-02-2024 15:28,938.67,eb454570-fafe-4abe-b164-b632ebb1d097,213.56.165.199,Billyport,"[0.21, 0.28, 0.2]","Move: (x:239, y:259), Click: (x:102, y:365)","ScrollLength: 225px, ScrollSpeed: 27px/s",N/A,N/A,Portrait,Bank Transfer,Entertainment,Chrome,Android,Yes
20936,96382,18-03-2024 18:19,381.55,201cb1fa-8722-492f-8d5b-b6f53c120396,144.228.122.62,Melissaside,"[0.11, 0.24, 0.18]","Move: (x:136, y:138), Click: (x:140, y:370)","ScrollLength: 401px, ScrollSpeed: 42px/s",N/A,N/A,Portrait,Bank Transfer,Grocery,Safari,Linux,Yes
13679,29160,22-03-2024 19:38,427.14,4b5ab771-1f52-4d7f-bd85-3a10cddea5d3,196.24.174.80,South Hannah,"[0.05, 0.28, 0.11]","Move: (x:72, y:63), Click: (x:108, y:254)","ScrollLength: 131px, ScrollSpeed: 30px/s",N/A,N/A,Landscape,Bill Payment,Clothing,Safari,iOS,Yes
44787,66324,31-01-2024 15:19,292.45,97624009-0ed5-402f-8a79-65a509e398dd,104.61.140.131,Port Victoria,"[0.14, 0.29, 0.27]","Move: (x:68, y:247), Click: (x:351, y:387)","ScrollLength: 121px, ScrollSpeed: 26px/s",N/A,N/A,Landscape,Account Funding,Entertainment,Safari,Android,Yes
57128,13362,10-01-2024 22:25,178.44,931c3828-ee6b-427f-bcfa-04bd0b580f6c,81.195.34.90,North Johnmouth,"[0.16, 0.23, 0.22]","Move: (x:294, y:52), Click: (x:385, y:154)","ScrollLength: 255px, ScrollSpeed: 11px/s",N/A,N/A,N/A,Bank Transfer,Grocery,Chrome,macOS,Yes
95389,98630,19-03-2024 13:39,778.56,c64ec7ea-2229-4493-ae34-96d9e7545f75,191.232.64.222,Tamaraside,"[0.16, 0.16, 0.28]","Move: (x:257, y:236), Click: (x:270, y:140)","ScrollLength: 487px, ScrollSpeed: 10px/s",N/A,N/A,N/A,Account Funding,Electronics,Firefox,Windows 11,Yes
58835,10433,04-01-2024 09:03,711.96,ad0e6bf1-6e35-482d-8435-3c5759d9778c,193.127.5.199,South Troymouth,"[0.13, 0.12, 0.05]","Move: (x:95, y:216), Click: (x:147, y:114)","ScrollLength: 197px, ScrollSpeed: 15px/s",N/A,N/A,N/A,Online Purchase,Grocery,Edge,Windows 10,Yes
28068,70565,16-02-2024 11:52,574.79,e9fde049-2c32-4c58-aec8-3e7a993c93ea,198.80.1.14,Elizabethshire,"[0.17, 0.05, 0.16]","Move: (x:69, y:296), Click: (x:330, y:134)","ScrollLength: 185px, ScrollSpeed: 50px/s",N/A,N/A,Landscape,Account Funding,Electronics,Safari,Linux,Yes
